TrackId,SongName,Artist,SpotifyArtistId,ReleaseDate,Label
2ZbStwijnqVr8vTb1a2hSm,Cheval de Bataille,MHUD,6efsu0OpLcRe8saFE5E4gO,6/12/2020,Les 7 Lagunes
7qjywDT52nC8RqRCeGskVv,Get Rich,SIMBAA,5FiVPe83QzrwJSrRBjsTiq,5/18/2020,Urban Alliance Ent
4Y1bemCzKjzzXk47t3jy0A,We Own The Night - Original Mix,DJ LXS,3qa8p4qEtTMmddGRM7VfzV,5/15/2020,Loving Records
5igchPVnMskByeK9bCpQxX,Nebula,Reggio,1Q6CDBTFFKnanZ20DS2QnQ,5/15/2020,CMMD Records
5huH4gJiEzQiouIWv5bRNo,Your Love,WINARTA,4pmANSOlqm7SAJ3Vfwfj8s,5/8/2020,ARWV
5ifbxL9way4gCzNm8c23Ur,Sehnsucht,Dario Lessing,0EocooOvTYLsjqSSQdqiyi,5/8/2020,St.vladimir
5GSVfuS8TdFPqIMwWIlLK7,The Saint Simon Killer,Winchester 7 & the Runners,15Mzrd47XdRknfsKLFIMci,5/8/2020,1356258 Records DK
5gzfT0RZ4NHlsoZlrSRXHY,I'm a Loser,Elephant Castle,1B2xz3ZP0Vuezwk4gGhbkD,5/8/2020,Old Wizard
5hbNe0CEtI1dGyOm0g7PGi,It's All Good,Mr Smith Aka Bo$$ Money,0oXYDmogaDCjAMSN0sNhTM,5/8/2020,Urban Alliance Ent
5jxK5DZsBv3iC4EgPs6PSR,Thinking About You,Alltag,2nxTGa5aXErL9eUJPQiaZP,5/8/2020,Up All Night
5KglajBRaDVCtzJnLFc1Zr,Rich Bitch,Bankrol Hayden,0Yr4BBpK2dkCp2UsrJ9LZN,5/8/2020,Atlantic Records
5KWVdpUMa6Mu4elsAbddg1,Long Day,Yung Pinch,61qMnYXa1GxSBoV3IiYKjZ,5/8/2020,TWNSHP
5Lda2aT4dUVIfsogxf6p6a,Rain Swing,Hark Madley,2PmOW1kGmHQ19WioEfLJcN,5/8/2020,Space Is The Place Music
5aJ1V2KytyJKGGnDKGtRnj,Lost,Voix,0ynpzK4HI3h7FmdhMaonoE,5/8/2020,Voix
5BySyhSTkCqTlO3HYEcO95,Good Example (with Andy Grammer) - Acoustic,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,5/8/2020,CYB3RPVNK
5EGp7DNzMYEZlZYeMsdGFC,Gave Her My Love,Vin Bogart,6VygtAEqzazNqiOd0K6dXT,5/8/2020,Vin Bogart
5f77WTuDVL4WZ8xX15vzGg,Elevate - Curtiba Remix,Jace Mek,67dClEyrx8SQ6gqe7r8PR4,5/8/2020,Country Club Disco
5faJPGL61A3qLTubFkmSuj,Eat The Frog,Choir Boy,2EvEdhJhS6JhayAsJZyAyL,5/8/2020,Dais Records
5ftR963YlX88OeCAPnXG2Z,Serial Lover,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,5/8/2020,TSNMI / Atlantic
5Fw8AA0os4Nk4VKheCyHgf,Glofi,WaveWalker,626UJMFcgbheJRgWGLyl4k,5/8/2020,YorJams
4yBsnjspf92So36kxaLjPN,Dreamer,Loris Caramanico,6moSMr2XoIughh9Y9LwS2I,5/8/2020,Jendex Plus
4XdZE42NgEihUtBXnGVFgs,Let Me Down,Naptone,3xsCnJtrIt8poPkwBx2tAR,5/8/2020,Hands Up Freaks
4WGy2VyMsjdLw3RfbuKbaz,Mindhunter,Miroslav Vrlik,07OQnOSosaMwXDVH06Fgvh,5/8/2020,Always Alive Recordings
4wlWLYAsj9UhvekTtRFVO8,Missing,Chris van Dutch,0BlIxK9OWzi4zordBw7tnY,5/8/2020,My.Cover.Music
4WSbob7AAds90px1BJyY8h,Wake Up,AROM,2QuXUnESC4XJOHxMkneZ5T,5/8/2020,AESTHETE by Day
4sxVrSzqPGv18mDbZnytLn,Real Hot Girl Skit,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,5/8/2020,TSNMI / Atlantic
4tGgPbunkaaxN3aa7AgcdK,Low On Love,Nico Santos,3A9B6c1CrSPauiOblw7pWz,5/8/2020,Virgin
4ulSNRO7AfjfwHXT7wQdf0,My Space,NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
4YIztrGHsyyqHMvuOoaIxO,Love Is All We Share,Cut Copy,4EENT7N7rCBwrddM3s0vFS,5/8/2020,Cutters Records
51Of5p3lKZeOg6itfs4og4,Lovefool,twocolors,7ACEUD7UsmmXrnj4OLt8f9,5/8/2020,Virgin
54T9K0NLuAfwwauADmI4X2,Home,Letter B,15zmAM7Cz2jnik67cBXSzb,5/8/2020,Known Strangers
55H8iRaNELgRonJo9BLKDb,Falso Amor,Buxxi,08Cb5OwPZ7SrS19MNYaHqz,5/8/2020,Buxxi
562y3xAftcXCOWhfWCLapA,Broke Up In Miami,Lil Durk,3hcs9uc56yIGFCSy9leWe7,5/8/2020,Alamo (Geffen Records)
56fOZi024El1ZU9n9rgNWT,Die In LA,Internet Girl,2eVTKG3Z5bbKk2OWMIe3iL,5/8/2020,bedroom collective
57H4mzW6cOKU94KwptAPDO,E Não Sobrou Ninguém - Ao Vivo,Vespas Mandarinas,39wvetWmzobDSXSkCHPEcv,5/8/2020,Vespas Mandarinas
5MyIR4vCwqxnB0biyFqcdw,L.O.V.(e).,Ella Eyre,66TrUkUZ3RM29dqeDQRgyA,5/8/2020,Universal-Island Records Ltd.
5nexAvWNhwg51EavnDgViy,Toxic,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,5/8/2020,TSNMI / Atlantic
5NucUF5hc4OvnoK3TF1Msq,Remember The Love,Karmic Memory Traces,3TuEMoSIZg6YlHB9UKx5Sf,5/8/2020,Karmic Memory Traces
5NZjmRxr7wrV3puID2E1Or,Light Up The Night,BonRen,1NcAreY13uaZoAuzfsjUSw,5/8/2020,Revealed Radar
5PQl8BmqceNEzJqewILbTO,Left To Love,RIKA,6Si6fslrH2xSORoY5TclT5,5/8/2020,Virgin EMI
5R2i2bNIexP0IfEC7SAu9i,Remedy,Kyle Gorall,4ZEFBOtYfmwDJjKVJvBJeo,5/8/2020,Kyle Gorall
5sqZbwHsU74CXpg62AH1gN,¿play?,Anima Vestra,4UnkitV5ouHkvSVzd46w5n,5/8/2020,Anima Vestra
5sv9ewgAesj3GjULQtBHg2,She (Zoey Deutch),Ziminy,1MNOvG2Qyp78jeK1z3KW6O,5/8/2020,Battle Creek Recordings
5SW5L8XJtMFd9bpMcq6YCR,I Don't Care,Philipp Semingo,0Y2nzxAfrLPDIlJ7y6KgJn,5/8/2020,musicTap
5t8EXLIVzmmJzKWWUML9Xx,Somebody Else,Tensnake,75nC6MXUalYZSOd7OfNkwq,5/8/2020,Armada Music
5tZrpxaLxl8Mjb54M2dDnR,Sniffa lim?,Rasmus Gozzi,3loTvAld5Tpk5aSNbboGpj,5/8/2020,Gozzi Records
5unWM50aqTAgNB8nDAnA1E,"Ashes, Ashes (All Fall Down) [feat. Tanaka Mupinga, Glucoin$ & Dr. Mupinga]",TwiceToasted,3Ro4xDOQ11wB48r08Z7tvg,5/8/2020,Phronesis
5xAMWf9g6xcUGg5lLIwKRA,Lies - Kyb X Zabo Remix,Will Sparks,1u7OVFmWah4wQhOPIbUb8U,5/8/2020,Pyro Records
5zneVNBUQiOHfC67IHhIuI,Go for It,Feeljones,1BAPKNKYY9vCAsoGPs9fHM,5/8/2020,"New Gospel, LLC"
602oQYs6Gu1CEB13rckHRl,Tequila - Jax Jones & Martin Solveig Present Europa / Waze & Odyssey Remix,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,5/8/2020,Polydor Records
65wbyeJhi63hHlm1r3ZTY5,Spotlight,Sander van Doorn,22bukBZvUppuwQwmDz75Gz,5/8/2020,Spinnin' Records
67bCTRrFrvLAmAnnKPiMS7,uwu,Leïti Sene,5FQJWdcKPAijmEi4uroZ4h,5/8/2020,2020 Leïti Sene
67LB1vZuG114LqRN8h8bQ2,Recap (feat. Don Toliver),NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
68ANzXU9trcoORYMZReCUK,Shatter,Choir Boy,2EvEdhJhS6JhayAsJZyAyL,5/8/2020,Dais Records
69lY8mgqjLqQE2Nt0gsTdx,Kaviar,paris91,0IF1xUEFhGXZ7zz8BW1zqv,5/8/2020,Paris91
6a26x527ggd9u2m5ngcrTx,No Se Puede,Kaze,2X11x8C63wCzAf1WwsIuLg,5/8/2020,Unitdreams Music
6A5JPvn5wWLWH24T5Au6n3,Rampage,2nd Life,2j1Yftz0qNufy1z5jfNYab,5/8/2020,Adept Records
6AaX19dcYPzKN6JHBxzhLg,El rastro de tu sangre en la nieve,Lashormigas,1gEkRlXj7cTe0zB4Ax5Czv,5/8/2020,El Volcán Música
6B2RbPOuwAKtxNAnIKY63A,24,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,5/8/2020,Arizona Zervas
6B9sAQoCj6ZnO17b9NCCrV,Baby Steps (Stripped Down),PHIA Z,39qtXj4UYIIa5AMG9TM34U,5/8/2020,PHIA Z
6BGBZbSaE7qm9j4HNMk2iD,Tag Em,BLEU MARLEY,5rtDeRmDHD7LykkedCFN3I,5/8/2020,Reserve Notes Music Group
6bOWGQSRngDhTjtXcTCCuX,Invisible Lovers,Angel Ruediger,3Xp2zhqhMeT9j9bNIeyZWU,5/8/2020,Yellow Rose Records
6bQVcTKfh1HQAbT3xkEDeD,Mama,Jellina,6r4jLBpc0K1xycZAa9hwPV,5/8/2020,Polydor
6cVtickRDp5eHpZXrAoHE9,Expensive Dessert,They Call Me Sauce,70rb1Hb0ob1HeWNbt5HG3T,5/8/2020,"I Got The Sauce, LLC."
6EqRilFiWGQX9xmPMRDJfQ,My Grandma Lives in Heaven,Kyle Oashu,2vB3yUl2qkHcBv3hfRFTOG,5/8/2020,undefined paradise
6EYGAFApzyeEiQfSpKG5ID,Broken Record,DNMO,3cMInYqk6yzf37zo8iznoz,5/8/2020,bitbird
6gB5c3HJIoc54dUgLCCQhp,No Digas Nada,Mora,0Q8NcsJwoCbZOHHW63su5S,5/8/2020,Rimas Entertainment LLC
6GL89XebdLmE68RgSabCuL,In My Head,JustLuke,5BYp3tFELy8TjfQMd0S3Nh,5/8/2020,Future House Music
6GowkRqloItcmZMYLQpHwA,Godloft / Awake,Kyle Oashu,2vB3yUl2qkHcBv3hfRFTOG,5/8/2020,undefined paradise
3bLJv1BmqUrxerFaPE5sp2,ASS,El Crok,2rA5hybfOSoyc2lTHMLChj,5/8/2020,Pica Pica
3cjH8FiSkWc7gY1Sip3WkV,Triflin Hoes,Lil Durk,3hcs9uc56yIGFCSy9leWe7,5/8/2020,Alamo (Geffen Records)
3CLW1ThvdXGxvurfLUSvtg,Try,Wisemind,3JGJDBOuCsQZQ38bHGcJXk,5/8/2020,Therapy
3cqjWuxBiWk3Peiuzr5ks7,Treppenhaus - Akustik,LEA,5Yo5iU2nf4H41waPl4ZnS1,5/8/2020,Four Music Productions
3cuQjvUF3Q9kCm0a2GluiZ,Plexus 3AM,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,5/8/2020,Blaufield Music
3D1RicOEL8lpf4MIuKc3qj,No Ice (feat. Lil Durk),NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
3Ddny34bFoYBb8dIGq5lwp,Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,5/8/2020,Columbia
3ds8kLOVE2YcJQSfiR4AOu,Muve My Body,Mou5zyzz,6H2LGB5CAdk0wlV0ehb0B2,5/8/2020,Mou5 Chee5e Records
3fba93ZZnRe8bmuc8At2J2,Love Enough,Julian Taylor,35k2toFgs8gru6GMPChzo6,5/8/2020,Howling Turtle Inc
3GJHQMa9WFWtj5uuPmI4gs,Coming Home,F3DE,1Nl4T9IMmYtAiblMLKRbpH,5/8/2020,Swingingturtle Records
3gJp652XZGWULZ9WylwEV1,We Re-Allied,Amaury Lacroix,4TkQ0KioK78VG0Knd0j4Go,5/8/2020,Amaury Lacroix
3goH7O78TLkV9RhCAyM4AT,Fame,Apache 207,1qQLhymHXFPtP5U8KNKsm6,5/8/2020,Two Sides
3hg0cBuDFwyy0eseTGENzt,ARTE,Tony Romera,7GQsOji7pfixzkLt63awo5,5/8/2020,Pinnacle Collective
3HMxfzjeUW9luZ0r2gXH0f,Bleed All Over,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,5/8/2020,Heavenly Recordings
3hUz1s8RebRDcGTlKgjU3o,I'm Gone,Tomine Harket,6064pL9Hu3Wx2bwJMeOx6o,5/8/2020,MADE Records
3i4KV1BMSf4iiWXHo2OGnK,i should be happy,lovelytheband,4KJ6jujcNPzOyhdNoiNftp,5/8/2020,Another Century
3ibvL65C2oK1eREBHceJWg,Forget U Now,Freaky DJs,2tZINeGiB74TsojN6RF0b0,5/8/2020,Teamwrk Records
3IYOqpmlznRUvvmxrVDRR3,Turnt Up Party,DJ Epps,0ILDQSalmp1pOq619M3MtG,5/8/2020,DJ Epps
3IzYy3AdSWMX4uojNyS596,Off My Mind,ManyFew,7oZdp9UWjuC68LeJSYeKZL,5/8/2020,SPRS
3JtAkTDcbFJ3jqamRGtLj8,Coast To Coast,NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
3JyhgPkHVm8FPvj1sVQ0lA,Skinny Jeans,Jesper Jenset,4Q6zYbQ2MrKiEWTGB3yrPv,5/8/2020,RCA Records Label
3K9ySmFGHjuukEaAgkWYlA,Unstoppable,Daimo,15GhpQZ0eA0cFpF9vx8YSc,5/8/2020,1715798 Records DK
3LcEOAeBvTz7kNvTfHJwWJ,"Call Me, I Still Love You - Extended Version",Two Feet,5sWHDYs0csV6RS48xBl0tH,5/8/2020,Republic Records
3LoFCUO1opStNDgsNLZX28,OG Now,Futuristic,5Z5jUyiNvFaqp0EVyLNf0p,5/8/2020,Dropout Records
